symbol,name,country,exchange,market,currency,corpCode,source
000010,신한은행,KR,KRX,,KRW,00149293,OPENDART
000020,동화약품,KR,KRX,,KRW,00119195,OPENDART
000030,우리은행,KR,KRX,,KRW,00254045,OPENDART
000040,KR모터스,KR,KRX,,KRW,00112378,OPENDART
000050,경방,KR,KRX,,KRW,00101628,OPENDART
000060,메리츠화재해상보험,KR,KRX,,KRW,00117744,OPENDART
000070,삼양홀딩스,KR,KRX,,KRW,00126937,OPENDART
000080,하이트진로,KR,KRX,,KRW,00150244,OPENDART
000100,유한양행,KR,KRX,,KRW,00145109,OPENDART
000110,한국스탠다드차타드은행,KR,KRX,,KRW,00148504,OPENDART
000120,CJ대한통운,KR,KRX,,KRW,00113410,OPENDART
000140,하이트진로홀딩스,KR,KRX,,KRW,00148993,OPENDART
000150,두산,KR,KRX,,KRW,00117212,OPENDART
000180,성창기업지주,KR,KRX,,KRW,00133335,OPENDART
0001A0,덕양에너젠,KR,KRX,,KRW,01516933,OPENDART
000210,DL,KR,KRX,,KRW,00109693,OPENDART
000220,유유제약,KR,KRX,,KRW,00144818,OPENDART
000230,일동홀딩스,KR,KRX,,KRW,00146083,OPENDART
000240,한국앤컴퍼니,KR,KRX,,KRW,00160047,OPENDART
000250,삼천당제약,KR,KRX,,KRW,00128546,OPENDART
000270,기아,KR,KRX,,KRW,00106641,OPENDART
000300,DH오토넥스,KR,KRX,,KRW,00126089,OPENDART
000320,노루홀딩스,KR,KRX,,KRW,00113508,OPENDART
000360,삼환기업,KR,KRX,,KRW,00129411,OPENDART
000370,한화손해보험,KR,KRX,,KRW,00135917,OPENDART
000380,대아건설,KR,KRX,,KRW,00110963,OPENDART
000390,SP삼화,KR,KRX,,KRW,00129387,OPENDART
000400,롯데손해보험,KR,KRX,,KRW,00113562,OPENDART
000420,로케트전기,KR,KRX,,KRW,00120377,OPENDART
000430,대원강업,KR,KRX,,KRW,00111847,OPENDART
000440,중앙에너비스,KR,KRX,,KRW,00149770,OPENDART
000470,그린손해보험,KR,KRX,,KRW,00104971,OPENDART
000480,시알홀딩스,KR,KRX,,KRW,00148984,OPENDART
000490,대동,KR,KRX,,KRW,00109286,OPENDART
0004V0,엔비알모션,KR,KRX,,KRW,00924931,OPENDART
0004Y0,디비금융제14호스팩,KR,KRX,,KRW,01884065,OPENDART
000500,가온전선,KR,KRX,,KRW,00104768,OPENDART
000520,삼일제약,KR,KRX,,KRW,00128032,OPENDART
000540,흥국화재,KR,KRX,,KRW,00103176,OPENDART
000590,CS홀딩스,KR,KRX,,KRW,00149026,OPENDART
000610,제일화재해상보험,KR,KRX,,KRW,00148744,OPENDART
000640,동아쏘시오홀딩스,KR,KRX,,KRW,00116824,OPENDART
000650,천일고속,KR,KRX,,KRW,00151395,OPENDART
000660,SK하이닉스,KR,KRX,,KRW,00164779,OPENDART
000670,영풍,KR,KRX,,KRW,00141307,OPENDART
000680,LS네트웍스,KR,KRX,,KRW,00104698,OPENDART
000700,유수홀딩스,KR,KRX,,KRW,00163691,OPENDART
000720,현대건설,KR,KRX,,KRW,00164478,OPENDART
000760,이화산업,KR,KRX,,KRW,00145686,OPENDART
000790,씨앤상선,KR,KRX,,KRW,00134060,OPENDART
0007C0,아크릴,KR,KRX,,KRW,01829819,OPENDART
0007J0,인벤테라,KR,KRX,,KRW,01869710,OPENDART
000800,경남기업,KR,KRX,,KRW,00101257,OPENDART
000810,삼성화재해상보험,KR,KRX,,KRW,00139214,OPENDART
000830,삼성물산,KR,KRX,,KRW,00126229,OPENDART
000850,화천기공,KR,KRX,,KRW,00166519,OPENDART
000860,강남제비스코,KR,KRX,,KRW,00100939,OPENDART
000880,한화,KR,KRX,,KRW,00160588,OPENDART
000890,보해양조,KR,KRX,,KRW,00123541,OPENDART
0008Z0,에스엔시스,KR,KRX,,KRW,01294110,OPENDART
000910,유니온,KR,KRX,,KRW,00144252,OPENDART
000950,전방,KR,KRX,,KRW,00147222,OPENDART
000970,한국주철관공업,KR,KRX,,KRW,00159573,OPENDART
000990,DB하이텍,KR,KRX,,KRW,00160843,OPENDART
0009K0,에임드바이오,KR,KRX,,KRW,01781999,OPENDART
001000,신라섬유,KR,KRX,,KRW,00135999,OPENDART
001020,페이퍼코리아,KR,KRX,,KRW,00134723,OPENDART
001040,CJ,KR,KRX,,KRW,00148540,OPENDART
001060,JW중외제약,KR,KRX,,KRW,00149947,OPENDART
001070,대한방직,KR,KRX,,KRW,00112970,OPENDART
001080,만호제강,KR,KRX,,KRW,00120872,OPENDART
0010F0,보원케미칼,KR,KRX,,KRW,00871587,OPENDART
0010V0,제이피아이헬스케어,KR,KRX,,KRW,00185301,OPENDART
001120,LX인터내셔널,KR,KRX,,KRW,00120076,OPENDART
001130,대한제분,KR,KRX,,KRW,00113243,OPENDART
001140,국보,KR,KRX,,KRW,00104519,OPENDART
001150,서통,KR,KRX,,KRW,00131434,OPENDART
001190,마이크로닉스,KR,KRX,,KRW,00112068,OPENDART
0011A0,액스비스,KR,KRX,,KRW,01554508,OPENDART
0011T0,채비,KR,KRX,,KRW,01279698,OPENDART
001200,유진증권,KR,KRX,,KRW,00131054,OPENDART
