symbol,corpCode,name,year,fiscal_date,currency,sector_group,sector_name,market_type,industry_code,industry_name,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue
000010,,신한은행,2023,2023-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,508497276000000.0,474966063000000.0,33531213000000.0,3067991000000.0,4147197000000.0,
000030,,우리은행,2023,2023-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,458017066000000.0,431313614000000.0,26703452000000.0,2515080000000.0,3316958000000.0,
000110,,한국스탠다드차타드은행,2023,2023-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,85700830000000.0,80383007000000.0,5317823000000.0,350573000000.0,471154000000.0,
004940,,하나은행,2023,2023-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,498843436000000.0,466759120000000.0,32084316000000.0,3487433000000.0,4605518000000.0,
005270,,대구은행,2023,2023-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,71446542105345.0,66690454968431.0,4756087136914.0,363917146604.0,457151702758.0,
005280,,부산은행,2023,2023-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,77271485939683.0,71622886474184.0,5648599465499.0,379120112756.0,434711226437.0,
006220,,제주은행,2023,2023-12-31,KRW,bank,은행,유가증권시장상장법인,641,은행 및 저축기관,7162714000000.0,6626863000000.0,535851000000.0,5101000000.0,2623000000.0,
006350,,전북은행,2023,2023-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,24144648000000.0,22140760000000.0,2003888000000.0,204521000000.0,271737000000.0,
016830,,한국씨티은행,2023,2023-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,38380075000000.0,32475281000000.0,5904794000000.0,277522000000.0,363012000000.0,
024110,,기업은행,2023,2023-12-31,KRW,bank,은행,유가증권시장상장법인,641,은행 및 저축기관,448427279000000.0,416610518000000.0,31816761000000.0,2675188000000.0,3432281000000.0,
060000,,국민은행,2023,2023-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,530012853000000.0,493464126000000.0,36548727000000.0,3149952000000.0,4327990000000.0,
138930,,BNK금융지주,2023,2023-12-31,KRW,bank,은행,유가증권시장상장법인,649,기타 금융업,145783633894264.0,135109931812961.0,10673702081303.0,678904864314.0,801174464908.0,
192520,,경남은행,2023,2023-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,50933013978699.0,47470883028935.0,3462130949764.0,257123629013.0,293181346422.0,
192530,,광주은행,2023,2023-12-31,KRW,bank,은행,기타법인,641,은행 및 저축기관,29792908387867.0,27642306638807.0,2150601749060.0,240715357485.0,311843207709.0,
008270,,산은캐피탈,2023,2023-12-31,KRW,finance,금융기타,기타법인,649,기타 금융업,9776950435699.0,8227089688160.0,1549860747539.0,208502400563.0,268517254031.0,
010050,,우리종합금융,2023,2023-12-31,KRW,finance,금융기타,기타법인,649,기타 금융업,6375624777770.0,5273889843360.0,1101734934410.0,-53373562440.0,-66978308416.0,429827657168.0
019590,,엠벤처투자,2023,2023-12-31,KRW,finance,금융기타,코스닥시장상장법인,642,신탁업 및 집합투자업,60062077231.0,7606276126.0,52455801105.0,-9620102685.0,-10582309920.0,
021960,,케이비캐피탈,2023,2023-12-31,KRW,finance,금융기타,기타법인,649,기타 금융업,16585250595274.0,14306687904568.0,2278562690706.0,188273364911.0,234789060756.0,
023760,,한국캐피탈,2023,2023-12-31,KRW,finance,금융기타,코스닥시장상장법인,649,기타 금융업,3900208123178.0,3288174129416.0,612033993762.0,66185070496.0,82139916795.0,
026890,,스틱인베스트먼트,2023,2023-12-31,KRW,finance,금융기타,유가증권시장상장법인,642,신탁업 및 집합투자업,284857118798.0,32075108163.0,252782010635.0,27594774707.0,33098199451.0,93760178861.0
027360,,아주IB투자,2023,2023-12-31,KRW,finance,금융기타,코스닥시장상장법인,649,기타 금융업,354614398981.0,96109647468.0,258504751513.0,16601630818.0,17729078861.0,
029780,,삼성카드,2023,2023-12-31,KRW,finance,금융기타,유가증권시장상장법인,649,기타 금융업,28806533713375.0,20670643151573.0,8135890561802.0,609438704418.0,810006981367.0,4004222629932.0
032710,,신한카드,2023,2023-12-31,KRW,finance,금융기타,기타법인,649,기타 금융업,43420162000000.0,35365175000000.0,8054987000000.0,621908000000.0,802827000000.0,
