symbol,price_date,price,market_cap
000020,2026-06-18,5230.0,146100000000.0
000040,2026-06-18,340.0,29400000000.0
000050,2026-06-18,8570.0,234900000000.0
000070,2026-06-18,55800.0,433200000000.0
000080,2026-06-18,15740.0,1103900000000.0
000100,2026-06-18,78000.0,6212500000000.0
000120,2026-06-18,82600.0,1884300000000.0
000140,2026-06-18,8270.0,191900000000.0
000150,2026-06-18,1629000.0,26379800000000.0
000180,2026-06-18,5120.0,71400000000.0
0001A0,2026-06-18,10710.0,266600000000.0
000210,2026-06-18,51800.0,1085500000000.0
000220,2026-06-18,3970.0,67600000000.0
000230,2026-06-18,7270.0,83900000000.0
000240,2026-06-18,24850.0,2359100000000.0
000250,2026-06-18,266500.0,6251400000000.0
000270,2026-06-18,161500.0,63051700000000.0
000300,2026-06-18,4200.0,174000000000.0
000320,2026-06-18,17850.0,237200000000.0
000390,2026-06-18,6600.0,179500000000.0
000430,2026-06-18,4890.0,303200000000.0
000440,2026-06-18,14720.0,91700000000.0
000480,2026-06-18,4830.0,226500000000.0
000490,2026-06-18,7970.0,229800000000.0
0004V0,2026-06-18,10350.0,107700000000.0
000500,2026-06-18,389500.0,6443500000000.0
000520,2026-06-18,7100.0,154000000000.0
000590,2026-06-18,72800.0,84000000000.0
000640,2026-06-18,84000.0,565500000000.0
000660,2026-06-18,2607000.0,1858015100000000.0
000670,2026-06-18,46600.0,857900000000.0
000680,2026-06-18,3085.0,243100000000.0
000700,2026-06-18,5790.0,150800000000.0
000720,2026-06-18,134600.0,14988500000000.0
000760,2026-06-18,12510.0,35000000000.0
0007C0,2026-06-18,21600.0,173500000000.0
000850,2026-06-18,32700.0,71900000000.0
000860,2026-06-18,13210.0,171700000000.0
000880,2026-06-18,123300.0,8693600000000.0
0008Z0,2026-06-18,27450.0,259000000000.0
000910,2026-06-18,3130.0,48900000000.0
000950,2026-06-18,26450.0,44400000000.0
000970,2026-06-18,6720.0,153200000000.0
000990,2026-06-18,151300.0,6582200000000.0
0009K0,2026-06-18,27250.0,1762300000000.0
001020,2026-06-18,2250.0,80100000000.0
001040,2026-06-18,191600.0,5590300000000.0
001060,2026-06-18,27650.0,643900000000.0
001070,2026-06-18,5860.0,31100000000.0
0010V0,2026-06-18,8700.0,44400000000.0
001120,2026-06-18,38700.0,1500000000000.0
001130,2026-06-18,11650.0,196900000000.0
0011A0,2026-06-18,13780.0,128600000000.0
001210,2026-06-18,503.0,31100000000.0
001230,2026-06-18,2080.0,323500000000.0
001250,2026-06-18,3050.0,251700000000.0
001260,2026-06-18,8310.0,81700000000.0
001340,2026-06-18,5880.0,264800000000.0
001380,2026-06-18,1485.0,33400000000.0
001390,2026-06-18,4580.0,307900000000.0
0013V0,2026-06-18,5610.0,55600000000.0
001430,2026-06-18,43450.0,1558200000000.0
001440,2026-06-18,39000.0,7643700000000.0
001460,2026-06-18,35750.0,223300000000.0
001470,2026-06-18,347.0,79700000000.0
001520,2026-06-18,560.0,133700000000.0
001530,2026-06-18,23150.0,479600000000.0
001540,2026-06-18,10700.0,139600000000.0
001560,2026-06-18,9890.0,75200000000.0
001570,2026-06-18,9900.0,633300000000.0
0015G0,2026-06-18,18750.0,219400000000.0
0015S0,2026-06-18,9550.0,94200000000.0
001620,2026-06-18,2410.0,53600000000.0
001630,2026-06-18,41300.0,206900000000.0
001680,2026-06-18,18160.0,629200000000.0
001740,2026-06-18,11180.0,2242600000000.0
001780,2026-06-18,2010.0,194600000000.0
001790,2026-06-18,2400.0,207000000000.0
001800,2026-06-18,26150.0,1638200000000.0
001810,2026-06-18,1187.0,26300000000.0
001820,2026-06-18,187100.0,1944900000000.0
001940,2026-06-18,24200.0,343100000000.0
002020,2026-06-18,55500.0,716400000000.0
002030,2026-06-18,194600.0,400700000000.0
002070,2026-06-18,6860.0,16500000000.0
002100,2026-06-18,9340.0,182300000000.0
002140,2026-06-18,1971.0,49200000000.0
002150,2026-06-18,5350.0,180400000000.0
002170,2026-06-18,53800.0,161400000000.0
002200,2026-06-18,2505.0,83900000000.0
002220,2026-06-18,5100.0,136200000000.0
002230,2026-06-18,5600.0,104700000000.0
002240,2026-06-18,19500.0,526500000000.0
002310,2026-06-18,8280.0,326600000000.0
002320,2026-06-18,16770.0,260200000000.0
002350,2026-06-18,7270.0,710000000000.0
002360,2026-06-18,1973.0,21900000000.0
002380,2026-06-18,527000.0,4528500000000.0
002390,2026-06-18,7820.0,107600000000.0
002410,2026-06-18,1935.0,53200000000.0
002450,2026-06-18,1233.0,111600000000.0
002460,2026-06-18,13600.0,138000000000.0
002600,2026-06-18,136900.0,82100000000.0
002680,2026-06-18,380.0,12300000000.0
002710,2026-06-18,12870.0,337400000000.0
002720,2026-06-18,3525.0,74600000000.0
002790,2026-06-18,23550.0,1800600000000.0
002800,2026-06-18,4645.0,70500000000.0
002810,2026-06-18,20600.0,380400000000.0
002820,2026-06-18,1989.0,25100000000.0
002840,2026-06-18,123600.0,587100000000.0
002870,2026-06-18,904.0,31600000000.0
002880,2026-06-18,837.0,39100000000.0
002900,2026-06-18,6580.0,272400000000.0
002920,2026-06-18,1791.0,46500000000.0
002990,2026-06-18,4230.0,157600000000.0
003000,2026-06-18,4525.0,446500000000.0
003030,2026-06-18,137700.0,570300000000.0
003060,2026-06-18,2265.0,32600000000.0
003070,2026-06-18,9700.0,246600000000.0
003080,2026-06-18,2265.0,45300000000.0
003090,2026-06-18,18550.0,1078500000000.0
0030R0,2026-06-18,4010.0,239700000000.0
003100,2026-06-18,19120.0,126200000000.0
003160,2026-06-18,28900.0,817900000000.0
003200,2026-06-18,10760.0,247000000000.0
003220,2026-06-18,8900.0,199600000000.0
003230,2026-06-18,1123000.0,8459600000000.0
003240,2026-06-18,905000.0,1007600000000.0
003280,2026-06-18,1809.0,434900000000.0
003300,2026-06-18,17530.0,540500000000.0
003310,2026-06-18,1816.0,64300000000.0
003380,2026-06-18,11050.0,1237700000000.0
003480,2026-06-18,4870.0,143800000000.0
003490,2026-06-18,29100.0,10715200000000.0
003550,2026-06-18,109800.0,16600900000000.0
003570,2026-06-18,43300.0,1439800000000.0
003580,2026-06-18,1632.0,82700000000.0
003610,2026-06-18,5200.0,188300000000.0
003620,2026-06-18,3120.0,631400000000.0
003670,2026-06-18,202000.0,17967100000000.0
003720,2026-06-18,8540.0,290400000000.0
003780,2026-06-18,5080.0,66000000000.0
003800,2026-06-18,32500.0,360400000000.0
003850,2026-06-18,9310.0,798700000000.0
003920,2026-06-18,43250.0,259500000000.0
003960,2026-06-18,26600.0,243800000000.0
004000,2026-06-18,49300.0,1271900000000.0
004020,2026-06-18,33750.0,4503800000000.0
004060,2026-06-18,2885.0,58400000000.0
004080,2026-06-18,13730.0,129100000000.0
004090,2026-06-18,11660.0,148000000000.0
004100,2026-06-18,2990.0,109700000000.0
004140,2026-06-18,2040.0,97900000000.0
004150,2026-06-18,3525.0,144600000000.0
004170,2026-06-18,749000.0,7074400000000.0
004250,2026-06-18,3130.0,114900000000.0
004270,2026-06-18,6980.0,25300000000.0
004360,2026-06-18,13460.0,257300000000.0
004370,2026-06-18,363000.0,2208000000000.0
004380,2026-06-18,9210.0,190600000000.0
004430,2026-06-18,10240.0,245800000000.0
004450,2026-06-18,25400.0,54700000000.0
004490,2026-06-18,64400.0,892600000000.0
004540,2026-06-18,1587.0,59100000000.0
004560,2026-06-18,13060.0,196900000000.0
004590,2026-06-18,5740.0,86100000000.0
004650,2026-06-18,9160.0,84200000000.0
004690,2026-06-18,121300.0,439900000000.0
004710,2026-06-18,13060.0,530600000000.0
004800,2026-06-18,193600.0,3240900000000.0
004830,2026-06-18,3700.0,58000000000.0
004840,2026-06-18,4340.0,83600000000.0
004890,2026-06-18,35750.0,86700000000.0
004910,2026-06-18,3750.0,48000000000.0
004920,2026-06-18,1017.0,53100000000.0
004960,2026-06-18,11310.0,130900000000.0
004970,2026-06-18,9050.0,144800000000.0
004980,2026-06-18,8750.0,214500000000.0
004990,2026-06-18,26150.0,2606200000000.0
005010,2026-06-18,4630.0,260200000000.0
005090,2026-06-18,54300.0,782400000000.0
005110,2026-06-18,1254.0,26500000000.0
005160,2026-06-18,2605.0,141300000000.0
005180,2026-06-18,67600.0,626600000000.0
005250,2026-06-18,11560.0,543600000000.0
005290,2026-06-18,61800.0,3150000000000.0
005300,2026-06-18,104400.0,968700000000.0
005320,2026-06-18,1089.0,37200000000.0
005360,2026-06-18,1375.0,26000000000.0
005380,2026-06-18,608000.0,124492700000000.0
005420,2026-06-18,12570.0,482800000000.0
005430,2026-06-18,85500.0,270700000000.0
005440,2026-06-18,13920.0,2170200000000.0
005490,2026-06-18,370500.0,29359000000000.0
005610,2026-06-18,40300.0,347700000000.0
005670,2026-06-18,6420.0,64200000000.0
005680,2026-06-18,14020.0,280400000000.0
005710,2026-06-18,10950.0,219400000000.0
005720,2026-06-18,6660.0,349900000000.0
005740,2026-06-18,5890.0,87500000000.0
005750,2026-06-18,4470.0,74200000000.0
005800,2026-06-18,13050.0,117500000000.0
005810,2026-06-18,38450.0,554300000000.0
005820,2026-06-18,14170.0,32600000000.0
005850,2026-06-18,72300.0,3358200000000.0
005860,2026-06-18,2515.0,99100000000.0
005880,2026-06-18,2090.0,674500000000.0
005930,2026-06-18,350250.0,2047659100000000.0
005950,2026-06-18,12960.0,340800000000.0
005960,2026-06-18,6480.0,148700000000.0
005990,2026-06-18,10790.0,143500000000.0
006040,2026-06-18,33000.0,1456600000000.0
006060,2026-06-18,2685.0,148500000000.0
006110,2026-06-18,54900.0,830300000000.0
006120,2026-06-18,46100.0,802800000000.0
006200,2026-06-18,2335.0,21900000000.0
006260,2026-06-18,417500.0,13026000000000.0
006280,2026-06-18,131800.0,1540300000000.0
006340,2026-06-18,12600.0,988000000000.0
006360,2026-06-18,28150.0,2409100000000.0
006370,2026-06-18,4230.0,45800000000.0
006400,2026-06-18,528000.0,42549200000000.0
006490,2026-06-18,298.0,44100000000.0
006570,2026-06-18,1905.0,29000000000.0
