symbol,name,reason
001140,국보,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
001890,에이치디씨영창,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
001970,에스지신성건설,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
003410,쌍용씨앤이,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
003560,아이에이치큐,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
005390,신성통상,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
006580,대양제지공업,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
008110,대동전자,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
008120,엠소닉,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
00null,DL에너지,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
010420,한솔피엔에스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
010600,웰바이오텍,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
011160,두산건설,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
011400,아진카인텍,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
012600,청호ICT,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
014200,광림,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
019440,세아특수강,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
023460,씨앤에이치,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
024810,이화전기공업,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
032040,씨앤에스자산관리,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
033180,케이에이치필룩스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
033630,에스케이브로드밴드,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
034300,신세계건설,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
035430,드림라인,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
037340,에이치씨코퍼레이션,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
038340,무궁화인포메이션테크놀로지,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
046400,휴스토리,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
047730,텔라움,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
048260,오스템임플란트,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
049770,동원F&B,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
050540,엠피씨플러스,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
051310,플랜텍,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
052190,세영디앤씨,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
052270,우전,"price/market_cap 파싱 실패: stck_prpr=0, hts_avls=0, lstn_stcn=0"
