symbol,corpCode,name,year,fiscal_date,price_date,price,market_cap,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue,per,pbr,roe,debt_ratio,per_score,pbr_score,roe_score,debt_score,valuation_score
002360,00136457,SH에너지화학,2025,2025-12-31,2026-06-18,1973.0,21900000000.0,101820431630.0,32127479315.0,69692952315.0,10784068601.0,12249904855.0,98627094841.0,2.03,0.31,15.47,46.1,25,25,25,25,100
003080,00132725,SB성보,2025,2025-12-31,2026-06-18,2265.0,45300000000.0,228336893035.0,75516225757.0,152820667278.0,34118990966.0,8143226709.0,64334046194.0,1.33,0.3,22.33,49.41,25,25,25,25,100
007460,00152385,에이프로젠,2025,2025-12-31,2026-06-18,2990.0,70500000000.0,717264630402.0,258654760913.0,458609869489.0,140570559359.0,95570619373.0,117974152260.0,0.5,0.15,30.65,56.4,25,25,25,25,100
007770,00267979,한일화학,2025,2025-12-31,2026-06-18,7340.0,25800000000.0,127715930238.0,40759099442.0,86956830796.0,20290407319.0,11994576228.0,124410156822.0,1.27,0.3,23.33,46.87,25,25,25,25,100
009440,00159971,KC그린홀딩스,2025,2025-12-31,2026-06-18,756.0,17600000000.0,172280442883.0,58196733077.0,114083709806.0,40828476557.0,1574279438.0,85959945472.0,0.43,0.15,35.79,51.01,25,25,25,25,100
011080,00142713,형지I&C,2025,2025-12-31,2026-06-18,2745.0,11800000000.0,61925890462.0,27592237857.0,34333652605.0,8905674437.0,7044927707.0,50808588981.0,1.32,0.34,25.94,80.36,25,25,25,25,100
020710,00170026,시공테크,2025,2025-12-31,2026-06-18,3860.0,77400000000.0,239521122008.0,53874371312.0,185646750696.0,30496371993.0,15079911549.0,168394146947.0,2.54,0.42,16.43,29.02,25,25,25,25,100
032800,00231691,판타지오,2025,2025-06-30,2026-06-18,1934.0,24100000000.0,88497570509.0,39538629488.0,48958941021.0,9200491612.0,8032024834.0,38192077332.0,2.62,0.49,18.79,80.76,25,25,25,25,100
036830,00247975,솔브레인홀딩스,2025,2025-12-31,2026-06-18,43850.0,899100000000.0,2658817185091.0,711208582118.0,1947608602973.0,495558016939.0,8859913929.0,556646781397.0,1.81,0.46,25.44,36.52,25,25,25,25,100
038880,00252269,아이에이,2025,2025-12-31,2026-06-18,670.0,25200000000.0,105816148953.0,46915584123.0,58900564830.0,44538846085.0,7318500845.0,41182705121.0,0.57,0.43,75.62,79.65,25,25,25,25,100
043090,00351454,더테크놀로지,2025,2025-12-31,2026-06-18,1140.0,4700000000.0,19972372315.0,3944716001.0,16027656314.0,14309121690.0,3193627067.0,12576496826.0,0.33,0.29,89.28,24.61,25,25,25,25,100
046940,00363246,우원개발,2025,2025-12-31,2026-06-18,3460.0,62500000000.0,264149989242.0,107405281394.0,156744707848.0,47967126385.0,67188905596.0,376349352125.0,1.3,0.4,30.6,68.52,25,25,25,25,100
050760,00340272,에스폴리텍,2025,2025-12-31,2026-06-18,1107.0,18100000000.0,110098130121.0,53693373238.0,56404756883.0,8791961317.0,,,2.06,0.32,15.59,95.19,25,25,25,25,100
054180,00356839,메디콕스,2025,2025-12-31,2026-06-18,2295.0,12700000000.0,68254632291.0,21145884700.0,47108747591.0,11895346336.0,5746736518.0,28160961888.0,1.07,0.27,25.25,44.89,25,25,25,25,100
060900,00367695,에이전트AI,2025,2025-12-31,2026-06-18,4680.0,18700000000.0,57356038099.0,19879581586.0,37476456513.0,18657607543.0,9319861515.0,13120220021.0,1.0,0.5,49.78,53.05,25,25,25,25,100
065130,00366845,탑엔지니어링,2025,2025-12-31,2026-06-18,3200.0,51200000000.0,492123214404.0,203875637612.0,288247576792.0,45662339345.0,35218756971.0,798498300100.0,1.12,0.18,15.84,70.73,25,25,25,25,100
068790,00361594,DMS,2025,2025-12-31,2026-06-18,5140.0,116000000000.0,573797046616.0,140767554847.0,433029491769.0,142187632100.0,4236043807.0,155471297435.0,0.82,0.27,32.84,32.51,25,25,25,25,100
078860,00543204,스테이지원엔터,2025,2025-12-31,2026-06-18,3170.0,18800000000.0,84822678465.0,16195930550.0,68626747915.0,17409328374.0,8022887227.0,12227719936.0,1.08,0.27,25.37,23.6,25,25,25,25,100
084650,00545114,랩지노믹스,2025,2025-12-31,2026-06-18,968.0,71900000000.0,230149433349.0,80527296935.0,149622136414.0,64374532597.0,53516541797.0,88161338250.0,1.12,0.48,43.02,53.82,25,25,25,25,100
096630,00573269,에스코넥,2025,2025-12-31,2026-06-18,2280.0,36200000000.0,170621596074.0,81957154350.0,88664441724.0,35701849592.0,13274075202.0,278688408641.0,1.01,0.41,40.27,92.44,25,25,25,25,100
096690,00608839,에이루트,2025,2025-12-31,2026-06-18,5360.0,21600000000.0,191626675274.0,86474842300.0,105151832974.0,18545662682.0,10930076329.0,50603806692.0,1.16,0.21,17.64,82.24,25,25,25,25,100
106080,00542898,케이이엠텍,2025,2025-12-31,2026-06-18,1650.0,9500000000.0,52267787586.0,22265544782.0,30002242804.0,12560923366.0,9225363953.0,7573737130.0,0.76,0.32,41.87,74.21,25,25,25,25,100
106240,00755739,파인테크닉스,2025,2025-12-31,2026-06-18,1237.0,29500000000.0,130050787211.0,53052376805.0,76998410406.0,22221958418.0,,,1.33,0.38,28.86,68.9,25,25,25,25,100
123840,00809429,뉴온,2025,2025-12-31,2026-06-18,3235.0,20600000000.0,118735536277.0,24649644761.0,94085891516.0,38807779737.0,13377903124.0,48163918636.0,0.53,0.22,41.25,26.2,25,25,25,25,100
137080,00362122,나래나노텍,2025,2025-12-31,2026-06-18,5140.0,56800000000.0,198749734811.0,82402146015.0,116347588796.0,39961132181.0,8838370335.0,54497281414.0,1.42,0.49,34.35,70.82,25,25,25,25,100
137310,00854997,에스디바이오센서,2025,2025-12-31,2026-06-18,7020.0,847700000000.0,3242719829223.0,905853763616.0,2336866065607.0,513388610274.0,80945179807.0,710580825154.0,1.65,0.36,21.97,38.76,25,25,25,25,100
177350,00813389,베셀,2025,2025-12-31,2026-06-18,622.0,12200000000.0,58362007088.0,17056462936.0,41305544152.0,17679322544.0,2612648469.0,16571060267.0,0.69,0.3,42.8,41.29,25,25,25,25,100
225220,01062177,제놀루션,2025,2025-12-31,2026-06-18,1441.0,27700000000.0,93786805001.0,25908208565.0,67878596436.0,12589592571.0,8641919728.0,9404347334.0,2.2,0.41,18.55,38.17,25,25,25,25,100
270520,01228515,앱튼,2025,2025-12-31,2026-06-18,971.0,19100000000.0,160058822816.0,64874481177.0,95184341639.0,23431066466.0,11156699603.0,16895496082.0,0.82,0.2,24.62,68.16,25,25,25,25,100
299900,01276327,위지윅스튜디오,2025,2025-12-31,2026-06-18,298.0,51000000000.0,242562329443.0,110331848085.0,132230481358.0,41781737653.0,9556606628.0,101995172098.0,1.22,0.39,31.6,83.44,25,25,25,25,100
308100,01181807,형지글로벌,2025,2025-12-31,2026-06-18,587.0,14100000000.0,97127827614.0,38303305348.0,58824522266.0,34488988153.0,8084930328.0,37683290800.0,0.41,0.24,58.63,65.11,25,25,25,25,100
