symbol,corpCode,name,year,fiscal_date,price_date,price,market_cap,currency,sector_group,sector_name,market_type,industry_code,industry_name,valuation_model_type,valuation_model_name,peer_group_name,peer_group_level,peer_group_size,total_assets,total_liabilities,total_equity,net_income,operating_income,revenue,per,pbr,roe,debt_ratio,operating_margin,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_debt_ratio_avg,peer_operating_margin_avg,per_vs_peer_pct,pbr_vs_peer_pct,roe_vs_peer_pctp,debt_ratio_vs_peer_pct,operating_margin_vs_peer_pctp,weight_per,weight_pbr,weight_roe,weight_debt,weight_op_margin,per_score,pbr_score,roe_score,debt_score,operating_margin_score,absolute_score,weighted_absolute_score,per_peer_score,pbr_peer_score,roe_peer_score,debt_peer_score,op_margin_peer_score,risk_penalty,industry_adjusted_score,valuation_score
001260,,남광토건,2025,2025-12-31,2026-06-18,8580.0,84400000000.0,KRW,general,일반,유가증권시장상장법인,412,토목 건설업,general,일반형,토목 건설업,industry,12,7715584325302.0,1809815283137.0,5905769042165.0,85313155522.0,-63640615999.0,357445671000.0,0.99,0.01,1.44,30.64,-17.8,9.87,0.64,-0.49,232.89,-4.86,89.98,97.75,1.93,86.84,-12.95,25,25,25,25,0,25,25,5,25,0,80,80.0,100.0,100.0,70.0,100.0,77.78,0,92,92
003100,,선광,2025,2025-12-31,2026-06-18,19080.0,125900000000.0,KRW,general,일반,코스닥시장상장법인,529,기타 운송관련 서비스업,general,일반형,기타 운송관련 서비스업,industry,6,691288235084.0,257124146671.0,434164088413.0,39481434625.0,,,3.19,0.29,9.09,59.22,,5.87,0.64,9.1,107.28,3.46,45.71,54.97,-0.01,44.8,,25,25,25,25,0,25,25,15,25,0,90,90.0,100.0,100.0,80.0,80.0,0.0,0,90,90
130580,,나이스디앤비,2025,2025-12-31,2026-06-18,5410.0,83300000000.0,KRW,general,일반,코스닥시장상장법인,759,기타 사업 지원 서비스업,general,일반형,기타 사업 지원 서비스업,industry,8,138382561129.0,22797581467.0,115584979662.0,12922453870.0,15432002768.0,91363378272.0,6.45,0.72,11.18,19.72,16.89,12.23,1.7,12.06,85.35,11.39,47.31,57.62,-0.88,76.89,5.5,25,25,25,25,0,20,20,20,25,20,85,85.0,100.0,85.71,71.43,100.0,28.57,0,89,89
108380,,대양전기공업,2025,2025-12-31,2026-06-18,19570.0,187200000000.0,KRW,general,일반,코스닥시장상장법인,311,선박 및 보트 건조업,general,일반형,선박 및 보트 건조업,industry,13,321983559541.0,52783719431.0,269199840110.0,24789386379.0,27060476082.0,230094825180.0,7.55,0.7,9.21,19.61,11.76,20.5,90.75,-10040.81,15679.09,7.19,63.17,99.23,10050.02,99.87,4.57,25,25,25,25,0,20,20,15,25,20,80,80.0,90.0,91.67,66.67,100.0,44.44,0,87,87
031310,,아이즈비전,2025,2025-12-31,2026-06-18,1027.0,30500000000.0,KRW,general,일반,코스닥시장상장법인,612,전기 통신업,general,일반형,전기 통신업,industry,13,283990903264.0,78853404577.0,205137498687.0,8803771973.0,3377631184.0,194376148403.0,3.46,0.15,4.29,38.44,1.74,17.64,1.1,-15.05,91.4,5.71,80.36,86.42,19.34,57.94,-3.98,25,25,25,25,0,25,25,5,25,5,80,80.0,100.0,100.0,66.67,66.67,88.89,0,83,83
025530,,에스제이엠홀딩스,2025,2025-12-31,2026-06-18,3490.0,52100000000.0,KRW,general,일반,유가증권시장상장법인,452,자동차 부품 및 내장품 판매업,general,일반형,일반형,model,584,379443112875.0,62603294799.0,316839818076.0,14571238731.0,,,3.58,0.16,4.6,19.76,,413.96,15.6,-7.94,160.29,-0.9,99.14,98.95,12.54,87.67,,25,25,25,25,0,25,25,5,25,0,80,80.0,86.15,99.04,48.54,90.38,0.0,0,81,81
004360,,세방,2025,2025-12-31,2026-06-18,13410.0,256300000000.0,KRW,general,일반,유가증권시장상장법인,493,도로 화물 운송업,general,일반형,도로 화물 운송업,industry,6,1495953029989.0,287361361968.0,1208591668021.0,65602594475.0,27300616862.0,1241786832538.0,3.91,0.21,5.43,23.78,2.2,57.08,0.29,0.8,151.78,2.3,93.16,26.92,4.63,84.33,-0.11,25,25,25,25,0,25,25,15,25,5,90,90.0,100.0,80.0,40.0,100.0,66.67,0,80,80
088350,,한화생명,2025,2025-12-31,2026-06-18,5440.0,4724800000000.0,KRW,insurance,보험,유가증권시장상장법인,651,보험업,insurance,보험형,보험업,industry,8,178534378000000.0,161910993000000.0,16623385000000.0,836319000000.0,1147250000000.0,15291185000000.0,5.65,0.28,5.03,974.0,7.5,13.77,0.84,9.29,879.3,10.24,58.96,66.32,-4.26,-10.77,-2.74,10,40,35,15,0,20,25,15,0,15,60,69.0,57.14,100.0,85.71,28.57,80.0,0,80,80
003540,,대신증권,2025,2025-12-31,2026-06-18,29700.0,1461800000000.0,KRW,securities,증권,유가증권시장상장법인,661,금융 지원 서비스업,securities,증권형,금융 지원 서비스업,industry,20,39128864373000.0,35071641416000.0,4057222957000.0,186726503000.0,,,7.83,0.36,4.6,864.42,,17.34,1.09,7.76,728.96,9.5,54.85,66.92,-3.15,-18.58,,15,35,35,15,0,20,25,5,0,0,50,54.0,83.33,89.47,78.95,47.37,0.0,0,79,79
038390,,레드캡투어,2025,2025-12-31,2026-06-18,9880.0,165200000000.0,KRW,general,일반,코스닥시장상장법인,752,여행사 및 기타 여행 보조 서비스업,general,일반형,여행사 및 기타 여행 보조 서비스업,industry,5,710291517359.0,509024748298.0,201266769061.0,23682586713.0,46775282613.0,365552937696.0,6.98,0.82,11.77,252.91,12.8,19.92,2.28,15.92,279.19,9.99,64.99,63.93,-4.16,9.41,2.8,25,25,25,25,0,20,20,20,5,20,65,65.0,100.0,100.0,66.67,50.0,25.0,0,79,79
088910,,동우팜투테이블,2025,2025-12-31,2026-06-18,2330.0,60200000000.0,KRW,general,일반,코스닥시장상장법인,101,"도축, 육류 가공 및 저장 처리업",general,일반형,"도축, 육류 가공 및 저장 처리업",industry,6,282187804378.0,42612674715.0,239575129663.0,28230586523.0,13151439758.0,325457698211.0,2.13,0.25,11.78,17.79,4.04,5.56,0.55,9.16,119.53,5.08,61.66,54.39,2.62,85.12,-1.04,25,25,25,25,0,25,25,20,25,5,95,95.0,75.0,100.0,40.0,100.0,60.0,0,79,79
000590,,CS홀딩스,2025,2025-12-31,2026-06-18,75300.0,86900000000.0,KRW,general,일반,유가증권시장상장법인,649,기타 금융업,general,일반형,기타 금융업,industry,90,425396197381.0,31670115640.0,393726081741.0,20996079784.0,20215270547.0,134870815287.0,4.14,0.22,5.33,8.04,14.99,121.1,6.87,4.34,206.1,6.32,96.58,96.79,0.99,96.1,8.67,25,25,25,25,0,25,25,15,25,20,90,90.0,78.87,82.02,56.18,95.51,14.75,0,78,78
000950,,전방,2025,2025-12-31,2026-06-18,26350.0,44300000000.0,KRW,general,일반,유가증권시장상장법인,131,방적 및 가공사 제조업,manufacturing,제조업형,제조업형,model,1160,237363693514.0,9867204035.0,227496489479.0,29808576772.0,-7314924674.0,40776455996.0,1.49,0.19,13.1,4.34,-17.94,59.47,1.53,-2.84,123.3,1.66,97.5,87.28,15.94,96.48,-19.6,25,20,20,15,20,25,25,20,25,0,95,76.0,96.43,91.3,6.52,100.0,97.56,0,78,78
001500,,현대차증권,2025,2025-12-31,2026-06-18,9120.0,563900000000.0,KRW,securities,증권,유가증권시장상장법인,661,금융 지원 서비스업,securities,증권형,금융 지원 서비스업,industry,20,12396389000000.0,10953063000000.0,1443326000000.0,57735000000.0,,,9.77,0.39,4.0,758.88,,17.34,1.09,7.76,728.96,9.5,43.67,64.13,-3.76,-4.1,,15,35,35,15,0,20,25,5,0,0,50,54.0,66.67,84.21,84.21,63.16,0.0,0,78,78
123890,,한국자산신탁,2025,2025-12-31,2026-06-18,2350.0,287600000000.0,KRW,finance,금융기타,유가증권시장상장법인,642,신탁업 및 집합 투자업,finance,금융기타형,신탁업 및 집합 투자업,industry,8,1738214602959.0,654888141006.0,1083326461953.0,49381582687.0,,,5.82,0.27,4.56,60.45,,13.55,0.79,4.49,47.93,47.98,57.02,66.49,0.06,-26.13,,15,35,35,15,0,20,25,5,25,0,75,69.0,100.0,100.0,66.67,28.57,0.0,0,78,78
000050,,경방,2025,2025-12-31,2026-06-18,8450.0,231700000000.0,KRW,general,일반,유가증권시장상장법인,471,종합 소매업,general,일반형,종합 소매업,industry,13,1255644259736.0,443817462202.0,811826797534.0,47379145951.0,,,4.89,0.29,5.84,54.67,,42.34,1.62,5.54,111.48,6.52,88.45,82.43,0.29,50.96,,25,25,25,25,0,25,25,15,25,0,90,90.0,90.0,91.67,33.33,91.67,0.0,0,77,77
105550,,엣지파운드리,2025,2025-12-31,2026-06-18,501.0,39200000000.0,KRW,general,일반,코스닥시장상장법인,262,전자 부품 제조업,manufacturing,제조업형,전자 부품 제조업,industry,118,177094222917.0,48657485617.0,128436737300.0,15697205127.0,-15540147816.0,36390814582.0,2.5,0.31,12.22,37.88,-42.7,53.9,2.36,-8.17,105.52,-4.95,95.37,87.08,20.39,64.1,-37.75,25,20,20,15,20,25,25,20,25,0,95,76.0,98.63,96.55,11.21,72.41,94.64,0,76,76
121440,,골프존홀딩스,2025,2025-12-31,2026-06-18,4730.0,202600000000.0,KRW,general,일반,코스닥시장상장법인,461,상품 중개업,general,일반형,상품 중개업,industry,8,1059634191903.0,309530384946.0,750103806957.0,24066257913.0,28026301927.0,354319476689.0,8.42,0.27,3.21,41.27,7.91,11.79,0.77,2.07,85.94,-1.9,28.62,64.82,1.14,51.98,9.81,25,25,25,25,0,20,25,5,25,15,75,75.0,75.0,100.0,57.14,71.43,20.0,0,76,76
000670,,영풍,2025,2025-12-31,2026-06-18,46000.0,846900000000.0,KRW,general,일반,유가증권시장상장법인,242,1차 비철금속 제조업,manufacturing,제조업형,1차 비철금속 제조업,industry,15,6002694219498.0,1983907994996.0,4018786224502.0,30876821465.0,-259688708486.0,2908974321148.0,27.43,0.21,0.77,49.37,-8.93,32.7,1.08,-4.26,177.27,1.6,16.11,80.46,5.03,72.15,-10.53,25,20,20,15,20,5,25,5,25,0,60,44.0,37.5,100.0,57.14,92.86,100.0,0,75,75
005880,,대한해운,2025,2025-12-31,2026-06-18,2060.0,664900000000.0,KRW,general,일반,유가증권시장상장법인,501,해상 운송업,general,일반형,해상 운송업,industry,6,4109190044284.0,1694535639799.0,2414654404485.0,173260065058.0,207164410184.0,1276968118509.0,3.84,0.28,7.18,70.18,16.22,8.68,0.69,-14.59,157.25,9.68,55.81,59.98,21.77,55.37,6.55,25,25,25,25,0,25,25,15,25,20,90,90.0,100.0,100.0,20.0,80.0,20.0,0,75,75
040420,,정상제이엘에스,2025,2025-12-31,2026-06-18,5710.0,89500000000.0,KRW,general,일반,코스닥시장상장법인,855,일반 교습학원,general,일반형,일반 교습학원,industry,5,103209670429.0,19778377048.0,83431293381.0,6639353826.0,9766490992.0,103051215889.0,13.48,1.07,7.96,23.71,9.48,11.03,1.38,15.76,113.21,10.51,-22.18,22.54,-7.8,79.06,-1.03,25,25,25,25,0,15,15,15,25,15,70,70.0,25.0,75.0,100.0,100.0,75.0,0,75,75
045060,,오공,2025,2025-12-31,2026-06-18,2075.0,35200000000.0,KRW,general,일반,코스닥시장상장법인,204,기타 화학제품 제조업,manufacturing,제조업형,기타 화학제품 제조업,industry,71,147932598516.0,24970051200.0,122962547316.0,5623660962.0,5621625226.0,160071597465.0,6.26,0.29,4.57,20.31,3.51,236.75,23.81,1.81,80.43,-5.33,97.36,98.8,2.77,74.75,8.85,25,20,20,15,20,20,25,5,25,5,75,63.0,86.27,91.43,50.0,80.0,64.18,0,75,75
048430,,유라테크,2025,2025-12-31,2026-06-18,6190.0,71300000000.0,KRW,general,일반,코스닥시장상장법인,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",manufacturing,제조업형,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",industry,31,184843776385.0,31184481992.0,153659294393.0,11035969535.0,1814073099.0,197253919651.0,6.46,0.46,7.18,20.29,0.92,52.78,4.71,-2.31,109.35,-10.05,87.76,90.15,9.49,81.44,10.97,25,20,20,15,20,20,25,15,25,5,85,71.0,94.74,89.66,37.93,93.1,58.62,0,75,75
