재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_CashAndDuefromBanks	         현금및예치금	306,941,229,532	274,677,822,074	266,812,342,859
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_Assets	         자산총계	12,156,782,217,209	11,232,068,800,034	10,321,971,588,094
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_DerivativeFinancialAssetsHeldForHedging	         위험회피목적파생상품자산	15,858,234,284	62,464,550,609	73,163,061,570
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtAmortisedCost	         상각후원가측정금융자산	321,111,258,855	297,794,835,525	233,984,352,146
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughOtherComprehensiveIncome	         기타포괄손익-공정가치측정금융자산	8,000,412,202,748	7,316,999,322,877	6,555,448,420,241
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_FinancialAssetsAtFairValueThroughProfitOrLoss	         당기손익-공정가치측정금융자산	3,204,011,190,915	2,980,421,367,388	2,881,505,997,482
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_IntangibleAssetsAndGoodwill	         무형자산	34,105,258,022	29,934,908,451	34,913,586,739
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_InvestmentProperty	         투자부동산	202,000,016,948	201,370,466,385	199,722,655,961
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_OtherNonfinancialAssets	         기타자산	45,933,754,657	41,344,220,681	45,108,709,712
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_PropertyPlantAndEquipment	         유형자산	26,409,071,248	27,061,306,044	31,312,461,384
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_CapitalAdjustments	            자본조정	-104,207,937,500	-104,047,417,500	-104,047,417,500
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_CapitalSurplus	            자본잉여금	154,491,703,941	154,491,703,941	154,491,703,941
 재무상태표, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_HybridBonds	            신종자본증권	0	39,839,480,000	39,839,480,000
