재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_ReversalsOfImpairmentLossesOfFinancialAssets	            신용손실충당금 환입액	4,442,631,302	14,683,495,440	
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_InvestmentIncomeExpenses	      투자손익	140,835,049,411	43,779,954,712	54,404,078,283
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_OperatingExpenseInvestment	         투자영업비용	996,803,054,316	1,031,240,358,034	797,940,701,439
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_AdditionalImpairmentLossesOfFinancialAssets	            신용손실충당금 전입액	235,590,636	1,043,864,876	22,627,433,426
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_FinanceExpensesFromReinsuranceContractsHeldRecognisedInProfitOrLoss	            재보험금융비용	3,912,648,091	3,442,321,223	3,239,570,609
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_InsuranceFinanceExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss	            보험금융비용	504,922,203,174	322,668,798,003	383,558,346,421
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융상품관련손실	21,837,985,905	37,420,702,635	16,904,795,455
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융상품관련손실	135,168,209,760	219,490,688,954	117,535,687,166
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_LossesFromDerivatives	            파생상품관련비용	156,577,971,862	337,784,499,135	155,351,437,658
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_OtherOperatingExpenseInvestment	            기타투자비용	26,322,849,409	21,841,798,197	19,903,775,372
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_ForeignExchangeLoss	            외화거래손실	68,024,767,825	11,465,132,530	30,483,553,715
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_InterestExpense	            금융부채의 이자비용	76,529,766,060	73,717,478,444	45,866,864,756
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	            재산관리비	3,271,061,594	2,365,074,037	2,469,236,861
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_InvestmentIncome	         투자영업수익	1,137,638,103,727	1,075,020,312,746	852,344,779,722
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_FinanceIncomeFromReinsuranceContractsHeldRecognisedInProfitOrLoss	            재보험금융수익	2,187,332,531	1,912,392,396	1,431,847,708
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_GainFromDerivatives	            파생상품관련수익	88,570,713,747	10,946,095,402	53,103,518,926
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome	            기타포괄손익-공정가치측정금융상품관련이익	8,872,115,026	6,153,063,588	2,164,889,737
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss	            당기손익-공정가치측정금융상품관련이익	422,574,854,025	172,304,531,644	236,862,948,115
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_InsuranceFinanceIncomeFromInsuranceContractsIssuedRecognisedInProfitOrLoss	            보험금융수익	53,134,304,062	110,844,638,988	79,081,023,750
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_OtherOperatingIncomeInvestment	            기타투자수익	80,491,946,403	79,963,788,875	69,046,525,640
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_ForeignExchangeGain	            외화거래이익	122,844,158,249	368,927,572,575	115,505,945,249
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_RevenueFromDividends	            배당금수익	14,589,541,280	9,925,436,801	8,577,935,794
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_RevenueFromInterest	            이자수익	339,930,507,102	299,359,297,037	286,570,144,803
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_NonOperatingProfitLoss	      영업외손익	-8,243,972,180	-3,484,240,165	3,047,922,563
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_NonOperatingExpense	         영업외비용	8,501,841,304	3,781,804,165	186,342,040
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_NonOperatingIncome	         영업외수익	257,869,124	297,564,000	3,234,264,603
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncome	      총포괄손익	102,385,061,659	-663,569,433,522	-37,425,514,712
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests	         비지배지분	0	0	0
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent	         지배기업의 소유주지분	102,385,061,659	-663,569,433,522	-37,425,514,712
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당순이익	4,278	3,401	3,289
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         희석주당순이익	4,278	3,401	3,289
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)	76,927,293,139	8,365,615,963	6,387,583,340
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_InsuranceServiceResult	      보험손익	125,973,153,048	113,892,656,499	90,630,610,947
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_OperatingExpenseInsurance	         보험서비스비용	611,495,885,419	572,663,797,920	561,716,328,305
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_OtherOperatingExpenseInsurance	            기타사업비용	11,183,305,923	10,798,856,953	10,411,242,104
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_ExpensesFromAllocationOfPremiumsPaidToReinsurer	            재보험비용	6,072,657,027	8,940,471,559	15,444,131,060
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	ifrs-full_InsuranceServiceExpensesFromInsuranceContractsIssued	            보험비용	594,239,922,469	552,924,469,408	535,860,955,141
 포괄손익계산서, 보험 - 연결	[null]	DB생명보험	기타법인	651	보험업	12	2025-12-31	사업보고서	KRW	dart_OperatingIncomeInsurance	         보험영업수익	737,469,038,467	686,556,454,419	652,346,939,252
